symbol,timestamp,open,high,low,close,volume,trade_count,vwap,rsi,label
AAPL,2024-10-21 04:00:00+00:00,234.45,236.85,234.45,236.48,36254470.0,538692.0,235.991167,63.41178179788183,2
AAPL,2024-10-22 04:00:00+00:00,233.885,236.22,232.6,235.86,38846578.0,489180.0,234.775329,62.11568743407853,2
AAPL,2024-10-23 04:00:00+00:00,234.08,235.144,227.76,230.76,52286979.0,722059.0,231.134978,52.593032482507866,0
AAPL,2024-10-24 04:00:00+00:00,229.98,230.82,228.41,230.57,31109503.0,490815.0,230.056502,52.27152577526004,0
AAPL,2024-10-25 04:00:00+00:00,229.74,233.22,229.57,231.41,38802304.0,551681.0,231.703642,53.62138949951759,1
AAPL,2024-10-28 04:00:00+00:00,233.32,234.73,232.55,233.4,36087134.0,557146.0,233.654245,56.74265498114084,2
AAPL,2024-10-29 04:00:00+00:00,233.1,234.325,232.32,233.67,35417247.0,484094.0,233.602577,57.16388414503752,2
AAPL,2024-10-30 04:00:00+00:00,232.61,233.47,229.55,230.1,47070907.0,593652.0,230.82421,50.20281740667886,2
AAPL,2024-10-31 04:00:00+00:00,229.34,229.83,225.37,225.91,64370086.0,767895.0,227.038381,43.50646428328102,2
AAPL,2024-11-01 04:00:00+00:00,220.965,225.35,220.27,222.91,65276741.0,859117.0,222.804987,39.44914007035095,1
AAPL,2024-11-04 05:00:00+00:00,220.99,222.79,219.71,222.01,44944468.0,647168.0,221.767417,38.29532135544098,0
AAPL,2024-11-05 05:00:00+00:00,221.795,223.95,221.14,223.45,28111338.0,502059.0,223.110799,41.255850395514855,0
AAPL,2024-11-06 05:00:00+00:00,222.61,226.065,221.19,222.72,54561121.0,796635.0,223.789045,40.2027919005706,1
AAPL,2024-11-07 05:00:00+00:00,224.625,227.875,224.57,227.48,42137691.0,623242.0,226.79628,49.29175443382738,2
AAPL,2024-11-08 05:00:00+00:00,227.17,228.66,226.405,226.96,38319325.0,540476.0,227.235239,48.42580735799875,1
AAPL,2024-11-11 05:00:00+00:00,225.0,225.7,221.5,224.23,42005602.0,555127.0,223.397808,44.05046942809573,0
AAPL,2024-11-12 05:00:00+00:00,224.55,225.59,223.355,224.23,40398299.0,462612.0,224.377658,44.05046942809573,1
